"Количество организаций по данным государственной регистрации с 2017 г. (единица, Всего)",,,,,,,,
,,,,,,,,
,,,2017,2018,2019,2020,2021,2022
,,,на 1 октября,на 1 октября,на 1 октября,на 1 октября,на 1 октября,на 1 октября
ВСЕГО (по всем формам собственности),        Красноярский край,ОБРАЗОВАНИЕ,,,2785,2646,2636,2698
ВСЕГО (по всем формам собственности),        Красноярский край,ДЕЯТЕЛЬНОСТЬ В ОБЛАСТИ ЗДРАВООХРАНЕНИЯ И СОЦИАЛЬНЫХ УСЛУГ,,,1946,1935,1959,2006
ВСЕГО (по всем формам собственности),        Красноярский край,"ДЕЯТЕЛЬНОСТЬ В ОБЛАСТИ КУЛЬТУРЫ, СПОРТА, ОРГАНИЗАЦИИ ДОСУГА И РАЗВЛЕЧЕНИЙ",,,1463,1446,1427,1417
ВСЕГО (по всем формам собственности),        Красноярский край,ПРЕДОСТАВЛЕНИЕ ПРОЧИХ ВИДОВ УСЛУГ,,,3157,3012,2884,2770
ВСЕГО (по всем формам собственности),        Красноярский край,ДЕЯТЕЛЬНОСТЬ ДОМАШНИХ ХОЗЯЙСТВ КАК РАБОТОДАТЕЛЕЙ; НЕДИФФЕРЕНЦИРОВАННАЯ ДЕЯТЕЛЬНОСТЬ ЧАСТНЫХ ДОМАШНИХ ХОЗЯЙСТВ ПО ПРОИЗВОДСТВУ ТОВАРОВ И ОКАЗАНИЮ УСЛУГ ДЛЯ СОБСТВЕННОГО ПОТРЕБЛЕНИЯ,,,2,1,1,1
ВСЕГО (по всем формам собственности),        Красноярский край,ДЕЯТЕЛЬНОСТЬ ЭКСТЕРРИТОРИАЛЬНЫХ ОРГАНИЗАЦИЙ И ОРГАНОВ,,,0,0,0,0
ВСЕГО (по всем формам собственности),        Красноярский край,Всего по обследуемым видам экономической деятельности,77895,75618,68807,63435,60665,59526
ВСЕГО (по всем формам собственности),        Иркутская область,"СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, ОХОТА, РЫБОЛОВСТВО И РЫБОВОДСТВО",,,3563,3400,3297,3198
ВСЕГО (по всем формам собственности),        Иркутская область,"    Растениеводство и животноводство, охота и предоставление соответствующих услуг в этих областях",,,2506,2462,2410,2399
ВСЕГО (по всем формам собственности),        Иркутская область,    Лесоводство и лесозаготовки,,,1010,892,847,761
ВСЕГО (по всем формам собственности),        Иркутская область,            Лесозаготовки,,,667,576,550,488
ВСЕГО (по всем формам собственности),        Иркутская область,    Рыболовство и рыбоводство,,,47,46,40,38
ВСЕГО (по всем формам собственности),        Иркутская область,        Рыболовство,,,30,30,27,24
ВСЕГО (по всем формам собственности),        Иркутская область,        Рыбоводство,,,17,16,13,14
ВСЕГО (по всем формам собственности),        Иркутская область,ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ,,,450,479,489,500
ВСЕГО (по всем формам собственности),        Иркутская область,ОБРАБАТЫВАЮЩИЕ ПРОИЗВОДСТВА,,,3436,3278,3133,3064
ВСЕГО (по всем формам собственности),        Иркутская область,"        Переработка и консервирование рыбы, ракообразных и моллюсков",,,17,18,20,21
ВСЕГО (по всем формам собственности),        Иркутская область,        Деятельность полиграфическая и предоставление услуг в этой области,,,129,126,113,106
ВСЕГО (по всем формам собственности),        Иркутская область,"ОБЕСПЕЧЕНИЕ ЭЛЕКТРИЧЕСКОЙ ЭНЕРГИЕЙ, ГАЗОМ И ПАРОМ; КОНДИЦИОНИРОВАНИЕ ВОЗДУХА",,,416,408,389,374
ВСЕГО (по всем формам собственности),        Иркутская область,"ВОДОСНАБЖЕНИЕ; ВОДООТВЕДЕНИЕ, ОРГАНИЗАЦИЯ СБОРА И УТИЛИЗАЦИИ ОТХОДОВ, ДЕЯТЕЛЬНОСТЬ ПО ЛИКВИДАЦИИ ЗАГРЯЗНЕНИЙ",,,355,342,337,329
ВСЕГО (по всем формам собственности),        Иркутская область,СТРОИТЕЛЬСТВО,,,5748,5632,5279,5090
ВСЕГО (по всем формам собственности),        Иркутская область,ТОРГОВЛЯ ОПТОВАЯ И РОЗНИЧНАЯ; РЕМОНТ АВТОТРАНСПОРТНЫХ СРЕДСТВ И МОТОЦИКЛОВ,,,14668,13309,12158,11308
ВСЕГО (по всем формам собственности),        Иркутская область,    Торговля оптовая и розничная автотранспортными средствами и мотоциклами и их ремонт,,,1463,1364,1281,1240
ВСЕГО (по всем формам собственности),        Иркутская область,"    Торговля оптовая, кроме оптовой торговли автотранспортными средствами и мотоциклами",,,8488,7672,6986,6582
ВСЕГО (по всем формам собственности),        Иркутская область,"    Торговля розничная, кроме торговли автотранспортными средствами и мотоциклами",,,4717,4273,3891,3486
ВСЕГО (по всем формам собственности),        Иркутская область,ТРАНСПОРТИРОВКА И ХРАНЕНИЕ,,,3874,3730,3647,3596
ВСЕГО (по всем формам собственности),        Иркутская область,    Деятельность почтовой связи и курьерская деятельность,,,64,44,45,46
ВСЕГО (по всем формам собственности),        Иркутская область,ДЕЯТЕЛЬНОСТЬ ГОСТИНИЦ И ПРЕДПРИЯТИЙ ОБЩЕСТВЕННОГО ПИТАНИЯ,,,1293,1253,1206,1148
ВСЕГО (по всем формам собственности),        Иркутская область,    Деятельность по предоставлению продуктов питания и напитков,,,1004,970,927,857
ВСЕГО (по всем формам собственности),        Иркутская область,        Деятельность предприятий общественного питания по обслуживанию торжественных мероприятий и прочим видам организации питания,,,,102,97,90
ВСЕГО (по всем формам собственности),        Иркутская область,ДЕЯТЕЛЬНОСТЬ В ОБЛАСТИ ИНФОРМАЦИИ И СВЯЗИ,,,1282,1259,1219,1220
ВСЕГО (по всем формам собственности),        Иркутская область,    Деятельность издательская,,,190,179,169,154
ВСЕГО (по всем формам собственности),        Иркутская область,    Деятельность в области телевизионного и радиовещания,,,89,88,80,76
ВСЕГО (по всем формам собственности),        Иркутская область,            Деятельность информационных агентств,,,45,46,38,35
ВСЕГО (по всем формам собственности),        Иркутская область,ДЕЯТЕЛЬНОСТЬ ФИНАНСОВАЯ И СТРАХОВАЯ,,,1079,976,899,806
ВСЕГО (по всем формам собственности),        Иркутская область,ДЕЯТЕЛЬНОСТЬ ПО ОПЕРАЦИЯМ С НЕДВИЖИМЫМ ИМУЩЕСТВОМ,,,4339,4175,4094,3980
ВСЕГО (по всем формам собственности),        Иркутская область,"ДЕЯТЕЛЬНОСТЬ ПРОФЕССИОНАЛЬНАЯ, НАУЧНАЯ И ТЕХНИЧЕСКАЯ",,,4074,3916,3818,3733
ВСЕГО (по всем формам собственности),        Иркутская область,ДЕЯТЕЛЬНОСТЬ АДМИНИСТРАТИВНАЯ И СОПУТСТВУЮЩИЕ ДОПОЛНИТЕЛЬНЫЕ УСЛУГИ,,,1988,1933,1830,1750
ВСЕГО (по всем формам собственности),        Иркутская область,ГОСУДАРСТВЕННОЕ УПРАВЛЕНИЕ И ОБЕСПЕЧЕНИЕ ВОЕННОЙ БЕЗОПАСНОСТИ; СОЦИАЛЬНОЕ ОБЕСПЕЧЕНИЕ,,,1905,1881,1860,1816
ВСЕГО (по всем формам собственности),        Иркутская область,ОБРАЗОВАНИЕ,,,2802,2771,2787,2700
ВСЕГО (по всем формам собственности),        Иркутская область,ДЕЯТЕЛЬНОСТЬ В ОБЛАСТИ ЗДРАВООХРАНЕНИЯ И СОЦИАЛЬНЫХ УСЛУГ,,,1251,1240,1242,1249
ВСЕГО (по всем формам собственности),        Иркутская область,"ДЕЯТЕЛЬНОСТЬ В ОБЛАСТИ КУЛЬТУРЫ, СПОРТА, ОРГАНИЗАЦИИ ДОСУГА И РАЗВЛЕЧЕНИЙ",,,1378,1378,1483,1513
ВСЕГО (по всем формам собственности),        Иркутская область,ПРЕДОСТАВЛЕНИЕ ПРОЧИХ ВИДОВ УСЛУГ,,,2728,2729,2732,2718
ВСЕГО (по всем формам собственности),        Иркутская область,ДЕЯТЕЛЬНОСТЬ ДОМАШНИХ ХОЗЯЙСТВ КАК РАБОТОДАТЕЛЕЙ; НЕДИФФЕРЕНЦИРОВАННАЯ ДЕЯТЕЛЬНОСТЬ ЧАСТНЫХ ДОМАШНИХ ХОЗЯЙСТВ ПО ПРОИЗВОДСТВУ ТОВАРОВ И ОКАЗАНИЮ УСЛУГ ДЛЯ СОБСТВЕННОГО ПОТРЕБЛЕНИЯ,,,5,6,5,5
ВСЕГО (по всем формам собственности),        Иркутская область,ДЕЯТЕЛЬНОСТЬ ЭКСТЕРРИТОРИАЛЬНЫХ ОРГАНИЗАЦИЙ И ОРГАНОВ,,,0,0,0,0
ВСЕГО (по всем формам собственности),        Иркутская область,Всего по обследуемым видам экономической деятельности,63199,60321,56645,54115,51918,50110
ВСЕГО (по всем формам собственности),        Кемеровская область - Кузбасс,"СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, ОХОТА, РЫБОЛОВСТВО И РЫБОВОДСТВО",,,934,858,799,787
ВСЕГО (по всем формам собственности),        Кемеровская область - Кузбасс,"    Растениеводство и животноводство, охота и предоставление соответствующих услуг в этих областях",,,782,720,665,651
ВСЕГО (по всем формам собственности),        Кемеровская область - Кузбасс,    Лесоводство и лесозаготовки,,,121,107,102,106
ВСЕГО (по всем формам собственности),        Кемеровская область - Кузбасс,            Лесозаготовки,,,61,52,54,56
ВСЕГО (по всем формам собственности),        Кемеровская область - Кузбасс,    Рыболовство и рыбоводство,,,31,31,32,30
ВСЕГО (по всем формам собственности),        Кемеровская область - Кузбасс,        Рыболовство,,,11,13,13,11
ВСЕГО (по всем формам собственности),        Кемеровская область - Кузбасс,        Рыбоводство,,,20,18,19,19
ВСЕГО (по всем формам собственности),        Кемеровская область - Кузбасс,ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ,,,449,433,429,418
ВСЕГО (по всем формам собственности),        Кемеровская область - Кузбасс,ОБРАБАТЫВАЮЩИЕ ПРОИЗВОДСТВА,,,3334,3039,2804,2739
ВСЕГО (по всем формам собственности),        Кемеровская область - Кузбасс,"        Переработка и консервирование рыбы, ракообразных и моллюсков",,,19,17,16,14
ВСЕГО (по всем формам собственности),        Кемеровская область - Кузбасс,        Деятельность полиграфическая и предоставление услуг в этой области,,,115,105,99,93
ВСЕГО (по всем формам собственности),        Кемеровская область - Кузбасс,"ОБЕСПЕЧЕНИЕ ЭЛЕКТРИЧЕСКОЙ ЭНЕРГИЕЙ, ГАЗОМ И ПАРОМ; КОНДИЦИОНИРОВАНИЕ ВОЗДУХА",,,406,365,340,325
ВСЕГО (по всем формам собственности),        Кемеровская область - Кузбасс,"ВОДОСНАБЖЕНИЕ; ВОДООТВЕДЕНИЕ, ОРГАНИЗАЦИЯ СБОРА И УТИЛИЗАЦИИ ОТХОДОВ, ДЕЯТЕЛЬНОСТЬ ПО ЛИКВИДАЦИИ ЗАГРЯЗНЕНИЙ",,,372,347,316,306
ВСЕГО (по всем формам собственности),        Кемеровская область - Кузбасс,СТРОИТЕЛЬСТВО,,,3931,3554,3326,3216
ВСЕГО (по всем формам собственности),        Кемеровская область - Кузбасс,ТОРГОВЛЯ ОПТОВАЯ И РОЗНИЧНАЯ; РЕМОНТ АВТОТРАНСПОРТНЫХ СРЕДСТВ И МОТОЦИКЛОВ,,,10754,9443,8381,8036
ВСЕГО (по всем формам собственности),        Кемеровская область - Кузбасс,    Торговля оптовая и розничная автотранспортными средствами и мотоциклами и их ремонт,,,1415,1271,1154,1115
ВСЕГО (по всем формам собственности),        Кемеровская область - Кузбасс,"    Торговля оптовая, кроме оптовой торговли автотранспортными средствами и мотоциклами",,,6238,5394,4752,4611
ВСЕГО (по всем формам собственности),        Кемеровская область - Кузбасс,"    Торговля розничная, кроме торговли автотранспортными средствами и мотоциклами",,,3101,2778,2475,2310
ВСЕГО (по всем формам собственности),        Кемеровская область - Кузбасс,ТРАНСПОРТИРОВКА И ХРАНЕНИЕ,,,2494,2310,2233,2286
ВСЕГО (по всем формам собственности),        Кемеровская область - Кузбасс,    Деятельность почтовой связи и курьерская деятельность,,,56,41,49,48
ВСЕГО (по всем формам собственности),        Кемеровская область - Кузбасс,ДЕЯТЕЛЬНОСТЬ ГОСТИНИЦ И ПРЕДПРИЯТИЙ ОБЩЕСТВЕННОГО ПИТАНИЯ,,,936,895,835,796
ВСЕГО (по всем формам собственности),        Кемеровская область - Кузбасс,    Деятельность по предоставлению продуктов питания и напитков,,,753,721,664,630
ВСЕГО (по всем формам собственности),        Кемеровская область - Кузбасс,        Деятельность предприятий общественного питания по обслуживанию торжественных мероприятий и прочим видам организации питания,,,,104,87,82
ВСЕГО (по всем формам собственности),        Кемеровская область - Кузбасс,ДЕЯТЕЛЬНОСТЬ В ОБЛАСТИ ИНФОРМАЦИИ И СВЯЗИ,,,1015,930,841,846
ВСЕГО (по всем формам собственности),        Кемеровская область - Кузбасс,    Деятельность издательская,,,135,118,102,96
ВСЕГО (по всем формам собственности),        Кемеровская область - Кузбасс,    Деятельность в области телевизионного и радиовещания,,,77,84,78,75
ВСЕГО (по всем формам собственности),        Кемеровская область - Кузбасс,            Деятельность информационных агентств,,,17,18,12,13
ВСЕГО (по всем формам собственности),        Кемеровская область - Кузбасс,ДЕЯТЕЛЬНОСТЬ ФИНАНСОВАЯ И СТРАХОВАЯ,,,771,681,647,596
ВСЕГО (по всем формам собственности),        Кемеровская область - Кузбасс,ДЕЯТЕЛЬНОСТЬ ПО ОПЕРАЦИЯМ С НЕДВИЖИМЫМ ИМУЩЕСТВОМ,,,3756,3514,3344,3264
ВСЕГО (по всем формам собственности),        Кемеровская область - Кузбасс,"ДЕЯТЕЛЬНОСТЬ ПРОФЕССИОНАЛЬНАЯ, НАУЧНАЯ И ТЕХНИЧЕСКАЯ",,,3232,3050,2950,2857
ВСЕГО (по всем формам собственности),        Кемеровская область - Кузбасс,ДЕЯТЕЛЬНОСТЬ АДМИНИСТРАТИВНАЯ И СОПУТСТВУЮЩИЕ ДОПОЛНИТЕЛЬНЫЕ УСЛУГИ,,,1797,1639,1512,1482
ВСЕГО (по всем формам собственности),        Кемеровская область - Кузбасс,ГОСУДАРСТВЕННОЕ УПРАВЛЕНИЕ И ОБЕСПЕЧЕНИЕ ВОЕННОЙ БЕЗОПАСНОСТИ; СОЦИАЛЬНОЕ ОБЕСПЕЧЕНИЕ,,,1216,1048,945,890
ВСЕГО (по всем формам собственности),        Кемеровская область - Кузбасс,ОБРАЗОВАНИЕ,,,2325,2295,2260,2226
ВСЕГО (по всем формам собственности),        Кемеровская область - Кузбасс,ДЕЯТЕЛЬНОСТЬ В ОБЛАСТИ ЗДРАВООХРАНЕНИЯ И СОЦИАЛЬНЫХ УСЛУГ,,,1222,1188,1175,1141
ВСЕГО (по всем формам собственности),        Кемеровская область - Кузбасс,"ДЕЯТЕЛЬНОСТЬ В ОБЛАСТИ КУЛЬТУРЫ, СПОРТА, ОРГАНИЗАЦИИ ДОСУГА И РАЗВЛЕЧЕНИЙ",,,1024,1026,972,983
ВСЕГО (по всем формам собственности),        Кемеровская область - Кузбасс,ПРЕДОСТАВЛЕНИЕ ПРОЧИХ ВИДОВ УСЛУГ,,,2040,1953,1847,1819
ВСЕГО (по всем формам собственности),        Кемеровская область - Кузбасс,ДЕЯТЕЛЬНОСТЬ ДОМАШНИХ ХОЗЯЙСТВ КАК РАБОТОДАТЕЛЕЙ; НЕДИФФЕРЕНЦИРОВАННАЯ ДЕЯТЕЛЬНОСТЬ ЧАСТНЫХ ДОМАШНИХ ХОЗЯЙСТВ ПО ПРОИЗВОДСТВУ ТОВАРОВ И ОКАЗАНИЮ УСЛУГ ДЛЯ СОБСТВЕННОГО ПОТРЕБЛЕНИЯ,,,7,6,4,4
ВСЕГО (по всем формам собственности),        Кемеровская область - Кузбасс,ДЕЯТЕЛЬНОСТЬ ЭКСТЕРРИТОРИАЛЬНЫХ ОРГАНИЗАЦИЙ И ОРГАНОВ,,,0,0,0,0
ВСЕГО (по всем формам собственности),        Кемеровская область - Кузбасс,Всего по обследуемым видам экономической деятельности,47125,44544,42016,38574,35960,35017
ВСЕГО (по всем формам собственности),        Новосибирская область,"СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, ОХОТА, РЫБОЛОВСТВО И РЫБОВОДСТВО",,,1729,1641,1519,1526
ВСЕГО (по всем формам собственности),        Новосибирская область,"    Растениеводство и животноводство, охота и предоставление соответствующих услуг в этих областях",,,1414,1346,1249,1264
ВСЕГО (по всем формам собственности),        Новосибирская область,    Лесоводство и лесозаготовки,,,204,193,174,175
ВСЕГО (по всем формам собственности),        Новосибирская область,            Лесозаготовки,,,89,82,75,83
ВСЕГО (по всем формам собственности),        Новосибирская область,    Рыболовство и рыбоводство,,,111,102,96,87
ВСЕГО (по всем формам собственности),        Новосибирская область,        Рыболовство,,,58,55,48,45
ВСЕГО (по всем формам собственности),        Новосибирская область,        Рыбоводство,,,53,47,48,42
ВСЕГО (по всем формам собственности),        Новосибирская область,ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ,,,160,152,162,166
ВСЕГО (по всем формам собственности),        Новосибирская область,ОБРАБАТЫВАЮЩИЕ ПРОИЗВОДСТВА,,,8454,8101,7662,7474
ВСЕГО (по всем формам собственности),        Новосибирская область,"        Переработка и консервирование рыбы, ракообразных и моллюсков",,,60,61,53,54
ВСЕГО (по всем формам собственности),        Новосибирская область,        Деятельность полиграфическая и предоставление услуг в этой области,,,457,420,383,360
ВСЕГО (по всем формам собственности),        Новосибирская область,"ОБЕСПЕЧЕНИЕ ЭЛЕКТРИЧЕСКОЙ ЭНЕРГИЕЙ, ГАЗОМ И ПАРОМ; КОНДИЦИОНИРОВАНИЕ ВОЗДУХА",,,612,585,545,518
ВСЕГО (по всем формам собственности),        Новосибирская область,"ВОДОСНАБЖЕНИЕ; ВОДООТВЕДЕНИЕ, ОРГАНИЗАЦИЯ СБОРА И УТИЛИЗАЦИИ ОТХОДОВ, ДЕЯТЕЛЬНОСТЬ ПО ЛИКВИДАЦИИ ЗАГРЯЗНЕНИЙ",,,498,470,451,422
ВСЕГО (по всем формам собственности),        Новосибирская область,СТРОИТЕЛЬСТВО,,,11221,10877,10258,10075
ВСЕГО (по всем формам собственности),        Новосибирская область,ТОРГОВЛЯ ОПТОВАЯ И РОЗНИЧНАЯ; РЕМОНТ АВТОТРАНСПОРТНЫХ СРЕДСТВ И МОТОЦИКЛОВ,,,35001,31511,28394,26882
ВСЕГО (по всем формам собственности),        Новосибирская область,    Торговля оптовая и розничная автотранспортными средствами и мотоциклами и их ремонт,,,3249,2964,2664,2550
ВСЕГО (по всем формам собственности),        Новосибирская область,"    Торговля оптовая, кроме оптовой торговли автотранспортными средствами и мотоциклами",,,24538,21938,19841,18872
ВСЕГО (по всем формам собственности),        Новосибирская область,"    Торговля розничная, кроме торговли автотранспортными средствами и мотоциклами",,,7214,6609,5889,5460
ВСЕГО (по всем формам собственности),        Новосибирская область,ТРАНСПОРТИРОВКА И ХРАНЕНИЕ,,,7326,6890,6471,6351
ВСЕГО (по всем формам собственности),        Новосибирская область,    Деятельность почтовой связи и курьерская деятельность,,,146,127,127,118
ВСЕГО (по всем формам собственности),        Новосибирская область,ДЕЯТЕЛЬНОСТЬ ГОСТИНИЦ И ПРЕДПРИЯТИЙ ОБЩЕСТВЕННОГО ПИТАНИЯ,,,2024,1954,1787,1725
ВСЕГО (по всем формам собственности),        Новосибирская область,    Деятельность по предоставлению продуктов питания и напитков,,,1754,1688,1539,1487
ВСЕГО (по всем формам собственности),        Новосибирская область,        Деятельность предприятий общественного питания по обслуживанию торжественных мероприятий и прочим видам организации питания,,,,155,149,138
ВСЕГО (по всем формам собственности),        Новосибирская область,ДЕЯТЕЛЬНОСТЬ В ОБЛАСТИ ИНФОРМАЦИИ И СВЯЗИ,,,2765,2668,2562,2575
ВСЕГО (по всем формам собственности),        Новосибирская область,    Деятельность издательская,,,292,248,217,209
ВСЕГО (по всем формам собственности),        Новосибирская область,    Деятельность в области телевизионного и радиовещания,,,81,76,69,64
ВСЕГО (по всем формам собственности),        Новосибирская область,            Деятельность информационных агентств,,,62,61,60,52
ВСЕГО (по всем формам собственности),        Новосибирская область,ДЕЯТЕЛЬНОСТЬ ФИНАНСОВАЯ И СТРАХОВАЯ,,,1649,1529,1390,1294
ВСЕГО (по всем формам собственности),        Новосибирская область,ДЕЯТЕЛЬНОСТЬ ПО ОПЕРАЦИЯМ С НЕДВИЖИМЫМ ИМУЩЕСТВОМ,,,10087,9825,9564,9424
ВСЕГО (по всем формам собственности),        Новосибирская область,"ДЕЯТЕЛЬНОСТЬ ПРОФЕССИОНАЛЬНАЯ, НАУЧНАЯ И ТЕХНИЧЕСКАЯ",,,8448,8082,7653,7401
ВСЕГО (по всем формам собственности),        Новосибирская область,ДЕЯТЕЛЬНОСТЬ АДМИНИСТРАТИВНАЯ И СОПУТСТВУЮЩИЕ ДОПОЛНИТЕЛЬНЫЕ УСЛУГИ,,,4065,3864,3614,3471
ВСЕГО (по всем формам собственности),        Новосибирская область,ГОСУДАРСТВЕННОЕ УПРАВЛЕНИЕ И ОБЕСПЕЧЕНИЕ ВОЕННОЙ БЕЗОПАСНОСТИ; СОЦИАЛЬНОЕ ОБЕСПЕЧЕНИЕ,,,1310,1258,1225,1199
ВСЕГО (по всем формам собственности),        Новосибирская область,ОБРАЗОВАНИЕ,,,2574,2544,2496,2423
ВСЕГО (по всем формам собственности),        Новосибирская область,ДЕЯТЕЛЬНОСТЬ В ОБЛАСТИ ЗДРАВООХРАНЕНИЯ И СОЦИАЛЬНЫХ УСЛУГ,,,1928,1932,1865,1883
ВСЕГО (по всем формам собственности),        Новосибирская область,"ДЕЯТЕЛЬНОСТЬ В ОБЛАСТИ КУЛЬТУРЫ, СПОРТА, ОРГАНИЗАЦИИ ДОСУГА И РАЗВЛЕЧЕНИЙ",,,1767,1734,1669,1661
ВСЕГО (по всем формам собственности),        Новосибирская область,ПРЕДОСТАВЛЕНИЕ ПРОЧИХ ВИДОВ УСЛУГ,,,4017,3803,3579,3473
ВСЕГО (по всем формам собственности),        Новосибирская область,ДЕЯТЕЛЬНОСТЬ ДОМАШНИХ ХОЗЯЙСТВ КАК РАБОТОДАТЕЛЕЙ; НЕДИФФЕРЕНЦИРОВАННАЯ ДЕЯТЕЛЬНОСТЬ ЧАСТНЫХ ДОМАШНИХ ХОЗЯЙСТВ ПО ПРОИЗВОДСТВУ ТОВАРОВ И ОКАЗАНИЮ УСЛУГ ДЛЯ СОБСТВЕННОГО ПОТРЕБЛЕНИЯ,,,3,3,4,4
ВСЕГО (по всем формам собственности),        Новосибирская область,ДЕЯТЕЛЬНОСТЬ ЭКСТЕРРИТОРИАЛЬНЫХ ОРГАНИЗАЦИЙ И ОРГАНОВ,,,4,5,5,2
ВСЕГО (по всем формам собственности),        Новосибирская область,Всего по обследуемым видам экономической деятельности,124230,120085,105642,99428,92875,89949
ВСЕГО (по всем формам собственности),        Омская область,"СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, ОХОТА, РЫБОЛОВСТВО И РЫБОВОДСТВО",,,917,886,787,789
ВСЕГО (по всем формам собственности),        Омская область,"    Растениеводство и животноводство, охота и предоставление соответствующих услуг в этих областях",,,787,763,675,680
ВСЕГО (по всем формам собственности),        Омская область,    Лесоводство и лесозаготовки,,,90,81,71,73
ВСЕГО (по всем формам собственности),        Омская область,            Лесозаготовки,,,31,27,25,29
ВСЕГО (по всем формам собственности),        Омская область,    Рыболовство и рыбоводство,,,40,42,41,36
ВСЕГО (по всем формам собственности),        Омская область,        Рыболовство,,,22,24,23,19
ВСЕГО (по всем формам собственности),        Омская область,        Рыбоводство,,,18,18,18,17
ВСЕГО (по всем формам собственности),        Омская область,ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ,,,43,36,35,35
ВСЕГО (по всем формам собственности),        Омская область,ОБРАБАТЫВАЮЩИЕ ПРОИЗВОДСТВА,,,2999,2813,2610,2592
ВСЕГО (по всем формам собственности),        Омская область,"        Переработка и консервирование рыбы, ракообразных и моллюсков",,,26,25,20,21
ВСЕГО (по всем формам собственности),        Омская область,        Деятельность полиграфическая и предоставление услуг в этой области,,,159,142,148,134
ВСЕГО (по всем формам собственности),        Омская область,"ОБЕСПЕЧЕНИЕ ЭЛЕКТРИЧЕСКОЙ ЭНЕРГИЕЙ, ГАЗОМ И ПАРОМ; КОНДИЦИОНИРОВАНИЕ ВОЗДУХА",,,260,250,235,229
ВСЕГО (по всем формам собственности),        Омская область,"ВОДОСНАБЖЕНИЕ; ВОДООТВЕДЕНИЕ, ОРГАНИЗАЦИЯ СБОРА И УТИЛИЗАЦИИ ОТХОДОВ, ДЕЯТЕЛЬНОСТЬ ПО ЛИКВИДАЦИИ ЗАГРЯЗНЕНИЙ",,,264,259,245,252
ВСЕГО (по всем формам собственности),        Омская область,СТРОИТЕЛЬСТВО,,,4679,4699,4622,5134
ВСЕГО (по всем формам собственности),        Омская область,ТОРГОВЛЯ ОПТОВАЯ И РОЗНИЧНАЯ; РЕМОНТ АВТОТРАНСПОРТНЫХ СРЕДСТВ И МОТОЦИКЛОВ,,,10888,9763,8802,9168
ВСЕГО (по всем формам собственности),        Омская область,    Торговля оптовая и розничная автотранспортными средствами и мотоциклами и их ремонт,,,955,845,738,746
ВСЕГО (по всем формам собственности),        Омская область,"    Торговля оптовая, кроме оптовой торговли автотранспортными средствами и мотоциклами",,,7524,6784,6230,6617
ВСЕГО (по всем формам собственности),        Омская область,"    Торговля розничная, кроме торговли автотранспортными средствами и мотоциклами",,,2409,2134,1834,1805
ВСЕГО (по всем формам собственности),        Омская область,ТРАНСПОРТИРОВКА И ХРАНЕНИЕ,,,2607,2554,2442,2450
ВСЕГО (по всем формам собственности),        Омская область,    Деятельность почтовой связи и курьерская деятельность,,,75,41,44,44
ВСЕГО (по всем формам собственности),        Омская область,ДЕЯТЕЛЬНОСТЬ ГОСТИНИЦ И ПРЕДПРИЯТИЙ ОБЩЕСТВЕННОГО ПИТАНИЯ,,,655,659,563,555
ВСЕГО (по всем формам собственности),        Омская область,    Деятельность по предоставлению продуктов питания и напитков,,,552,554,469,467
ВСЕГО (по всем формам собственности),        Омская область,        Деятельность предприятий общественного питания по обслуживанию торжественных мероприятий и прочим видам организации питания,,,,56,50,47
ВСЕГО (по всем формам собственности),        Омская область,ДЕЯТЕЛЬНОСТЬ В ОБЛАСТИ ИНФОРМАЦИИ И СВЯЗИ,,,962,934,873,883
ВСЕГО (по всем формам собственности),        Омская область,    Деятельность издательская,,,114,103,89,85
ВСЕГО (по всем формам собственности),        Омская область,    Деятельность в области телевизионного и радиовещания,,,39,36,31,31
ВСЕГО (по всем формам собственности),        Омская область,            Деятельность информационных агентств,,,32,28,23,24
ВСЕГО (по всем формам собственности),        Омская область,ДЕЯТЕЛЬНОСТЬ ФИНАНСОВАЯ И СТРАХОВАЯ,,,554,489,411,385
ВСЕГО (по всем формам собственности),        Омская область,ДЕЯТЕЛЬНОСТЬ ПО ОПЕРАЦИЯМ С НЕДВИЖИМЫМ ИМУЩЕСТВОМ,,,3622,3471,3367,3347
ВСЕГО (по всем формам собственности),        Омская область,"ДЕЯТЕЛЬНОСТЬ ПРОФЕССИОНАЛЬНАЯ, НАУЧНАЯ И ТЕХНИЧЕСКАЯ",,,3228,3077,2881,2865
ВСЕГО (по всем формам собственности),        Омская область,ДЕЯТЕЛЬНОСТЬ АДМИНИСТРАТИВНАЯ И СОПУТСТВУЮЩИЕ ДОПОЛНИТЕЛЬНЫЕ УСЛУГИ,,,1530,1436,1248,1241
