"Количество организаций по данным государственной регистрации с 2017 г. (единица, Всего)",,,,,,,,
,,,,,,,,
,,,2017,2018,2019,2020,2021,2022
,,,на 1 октября,на 1 октября,на 1 октября,на 1 октября,на 1 октября,на 1 октября
ВСЕГО (по всем формам собственности),        Воронежская область,"    Растениеводство и животноводство, охота и предоставление соответствующих услуг в этих областях",,,1332,1205,1155,1081
ВСЕГО (по всем формам собственности),        Воронежская область,    Лесоводство и лесозаготовки,,,50,57,56,53
ВСЕГО (по всем формам собственности),        Воронежская область,            Лесозаготовки,,,16,22,24,21
ВСЕГО (по всем формам собственности),        Воронежская область,    Рыболовство и рыбоводство,,,45,45,40,38
ВСЕГО (по всем формам собственности),        Воронежская область,        Рыболовство,,,12,10,7,5
ВСЕГО (по всем формам собственности),        Воронежская область,        Рыбоводство,,,33,35,33,33
ВСЕГО (по всем формам собственности),        Воронежская область,ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ,,,104,106,102,102
ВСЕГО (по всем формам собственности),        Воронежская область,ОБРАБАТЫВАЮЩИЕ ПРОИЗВОДСТВА,,,3692,3559,3424,3272
ВСЕГО (по всем формам собственности),        Воронежская область,"        Переработка и консервирование рыбы, ракообразных и моллюсков",,,20,20,22,21
ВСЕГО (по всем формам собственности),        Воронежская область,        Деятельность полиграфическая и предоставление услуг в этой области,,,181,166,152,134
ВСЕГО (по всем формам собственности),        Воронежская область,"ОБЕСПЕЧЕНИЕ ЭЛЕКТРИЧЕСКОЙ ЭНЕРГИЕЙ, ГАЗОМ И ПАРОМ; КОНДИЦИОНИРОВАНИЕ ВОЗДУХА",,,334,314,305,294
ВСЕГО (по всем формам собственности),        Воронежская область,"ВОДОСНАБЖЕНИЕ; ВОДООТВЕДЕНИЕ, ОРГАНИЗАЦИЯ СБОРА И УТИЛИЗАЦИИ ОТХОДОВ, ДЕЯТЕЛЬНОСТЬ ПО ЛИКВИДАЦИИ ЗАГРЯЗНЕНИЙ",,,385,366,349,332
ВСЕГО (по всем формам собственности),        Воронежская область,СТРОИТЕЛЬСТВО,,,5766,5654,5772,4904
